Time;Rank;Rank_;Data;DiasDoTecnicoNoTime;EmCasa;PJ*;V*;E*;D*;TxVit5Jogos;TxDer5Jogos;TxEmp5Jogos;TxVit5Jogos_;TxDer5Jogos_;TxEmp5Jogos_;Resultado
Chapecoense;12;10;22/07/2019;106;True;11;3;4;4;20;0;80;0;80;20;V
Palmeiras;12;1;13/07/2019;97;True;321;108;105;108;0;20;80;80;0;20;E
Atlético MG;12;7;13/06/2019;67;False;97;34;31;32;0;40;60;60;20;20;E
Avaí;12;21;09/06/2019;63;False;17;9;5;3;0;60;40;0;40;60;E
Cruzeiro;12;2;02/06/2019;56;True;85;42;22;21;0;60;40;0;60;40;E
Bahia;12;15;30/05/2019;53;False;49;17;14;18;20;60;20;60;20;20;D
Corinthians;12;5;26/05/2019;49;False;344;105;109;130;20;40;40;60;20;20;D
Bahia;12;15;23/05/2019;46;True;49;17;14;18;40;20;40;40;40;20;D
Bahia;12;15;19/05/2019;42;True;49;17;14;18;60;0;40;40;40;20;E
Fortaleza;12;33;12/05/2019;35;False;15;9;3;3;60;20;20;40;60;0;V
Flamengo;12;6;05/05/2019;28;True;133;52;39;42;40;20;40;40;40;20;E
Goiás;12;24;02/05/2019;25;False;49;22;13;14;40;20;40;40;60;0;V
Botafogo;12;11;27/04/2019;20;True;106;44;24;38;20;20;60;20;40;40;V
Corinthians;12;5;21/04/2019;14;False;344;105;109;130;20;20;60;20;60;20;D
Corinthians;12;5;14/04/2019;7;True;344;105;109;130;40;0;60;20;40;40;E
Palmeiras;12;1;07/04/2019;0;False;321;108;105;108;40;0;60;20;20;60;E
Palmeiras;12;1;30/03/2019;41;True;321;108;105;108;40;20;40;60;0;40;E
Ituano;12;75;27/03/2019;38;False;28;18;5;5;40;20;40;40;20;40;V
Ituano;12;75;24/03/2019;35;True;28;18;5;5;40;20;40;40;20;40;V
São Caetano;12;150;21/03/2019;32;False;30;12;9;9;20;20;60;20;20;60;E
Palmeiras;12;1;16/03/2019;27;True;321;108;105;108;20;40;40;80;0;20;D
Ferroviária;12;118;10/03/2019;21;True;74;37;20;17;20;20;60;20;20;60;E
Bragantino;12;42;03/03/2019;14;False;45;25;11;9;20;40;40;20;40;40;V
Red Bull;12;138;24/02/2019;7;True;6;2;3;1;0;60;40;0;60;40;E
Corinthians;12;5;17/02/2019;0;False;344;105;109;130;20;60;20;40;20;40;D
Talleres;12;0;13/02/2019;79;True;;;;;20;60;20;20;60;20;E
Ponte Preta;12;18;09/02/2019;75;False;144;74;43;27;20;80;0;20;80;0;D
Talleres;12;0;06/02/2019;72;False;;;;;40;60;0;40;60;0;D
São Bento;12;51;03/02/2019;69;True;62;40;14;8;60;40;0;60;40;0;V
Guarani;12;44;31/01/2019;66;True;176;83;53;40;40;60;0;40;60;0;D
Santos;12;4;27/01/2019;62;False;309;133;72;104;40;60;0;60;20;20;D
Novorizontino;12;153;24/01/2019;59;False;21;10;9;2;40;60;0;40;60;0;V
Mirassol;12;161;19/01/2019;54;True;13;9;2;2;20;60;20;20;60;20;V
Ajax;12;0;12/01/2019;47;True;;;;;0;80;20;0;80;20;D
Eintracht Frankfurt;12;0;11/01/2019;46;False;;;;;20;60;20;20;60;20;D
Chapecoense;12;10;02/12/2018;6;False;11;3;4;4;20;40;40;40;40;20;D
Sport;12;16;26/11/2018;0;True;53;30;13;10;20;20;60;20;20;60;E
Vasco da Gama;12;14;22/11/2018;256;False;118;42;35;41;20;20;60;20;20;60;D
Cruzeiro;12;2;18/11/2018;252;True;85;42;22;21;40;0;60;60;40;0;V
Grêmio;12;3;15/11/2018;249;True;95;37;27;31;20;0;80;40;40;20;E
Corinthians;12;5;10/11/2018;244;False;344;105;109;130;20;20;60;20;40;40;E
Flamengo;12;6;04/11/2018;238;True;133;52;39;42;20;40;40;60;0;40;E
Vitória;12;17;26/10/2018;229;False;49;30;9;10;20;40;40;20;40;40;V
Atlético PR;12;8;20/10/2018;223;True;62;21;22;19;0;40;60;60;20;20;E
Internacional;12;9;14/10/2018;217;False;77;27;25;25;0;40;60;40;40;20;D
Palmeiras;12;1;06/10/2018;209;True;321;108;105;108;20;20;60;80;0;20;D
Botafogo;12;11;30/09/2018;203;False;106;44;24;38;20;20;60;40;40;20;E
América MG;12;19;22/09/2018;195;True;18;11;6;1;20;20;60;20;20;60;E
Santos;12;4;16/09/2018;189;False;309;133;72;104;40;20;40;40;20;40;E
Bahia;12;15;08/09/2018;181;True;49;17;14;18;40;20;40;40;60;0;V
Atlético MG;12;7;06/09/2018;179;False;97;34;31;32;40;20;40;40;20;40;D
Fluminense;12;13;02/09/2018;175;True;122;53;25;44;60;0;40;40;20;40;E
Ceará;12;23;26/08/2018;168;True;21;13;4;4;80;0;20;20;20;60;V
Parana Clube;12;0;22/08/2018;164;False;20;11;7;2;80;0;20;80;0;20;E
Chapecoense;12;10;19/08/2018;161;True;11;3;4;4;80;20;0;20;60;20;V
Colon;12;0;17/08/2018;159;False;;;;;80;20;0;80;20;0;V
Sport;12;16;12/08/2018;154;False;53;30;13;10;60;40;0;60;40;0;V
Vasco da Gama;12;14;05/08/2018;147;True;118;42;35;41;60;40;0;60;40;0;V
Colon;12;0;02/08/2018;144;True;;;;;60;40;0;60;40;0;D
Cruzeiro;12;2;29/07/2018;140;False;85;42;22;21;80;20;0;40;40;20;V
Grêmio;12;3;26/07/2018;137;False;95;37;27;31;80;20;0;40;40;20;D
Corinthians;12;5;22/07/2018;133;True;344;105;109;130;80;0;20;60;20;20;V
Flamengo;12;6;19/07/2018;130;False;133;52;39;42;60;20;20;60;20;20;V
Vitória;12;17;13/06/2018;94;True;49;30;9;10;60;20;20;60;20;20;V
Atlético MG;12;7;09/06/2018;90;False;97;34;31;32;60;20;20;20;60;20;V
Internacional;12;9;06/06/2018;87;True;77;27;25;25;60;20;20;60;0;40;E
Palmeiras;12;1;03/06/2018;84;False;321;108;105;108;60;20;20;40;40;20;D
Botafogo;12;11;31/05/2018;81;True;106;44;24;38;80;0;20;20;40;40;V
América MG;12;19;27/05/2018;77;False;18;11;6;1;60;0;40;60;0;40;V
Santos;12;4;20/05/2018;70;True;309;133;72;104;40;0;60;40;60;0;V
Bahia;12;15;13/05/2018;63;False;49;17;14;18;20;0;80;20;20;60;E
RosarioCentral;12;0;10/05/2018;60;True;;;;;20;0;80;20;0;80;V
Atlético MG;12;7;05/05/2018;55;True;97;34;31;32;20;0;80;40;0;60;E
Fluminense;12;13;29/04/2018;49;False;122;53;25;44;20;0;80;40;40;20;E
Ceará;12;23;22/04/2018;42;False;21;13;4;4;20;20;60;40;40;20;E
Atlético PR;12;8;19/04/2018;39;True;62;21;22;19;20;40;40;80;0;20;E
Parana Clube;12;0;16/04/2018;36;True;20;11;7;2;40;40;20;40;40;20;V
Rosario Central;12;0;13/04/2018;33;False;;;;;40;40;20;40;40;20;E
Atlético PR;12;8;05/04/2018;25;False;62;21;22;19;40;60;0;60;20;20;D
Corinthians;12;5;29/03/2018;18;False;344;105;109;130;60;40;0;60;40;0;D
Corinthians;12;5;25/03/2018;14;True;344;105;109;130;80;20;0;60;40;0;V
São Caetano;12;150;21/03/2018;10;True;30;12;9;9;60;40;0;60;40;0;V
São Caetano;12;150;17/03/2018;6;False;30;12;9;9;60;40;0;60;40;0;D
CRB;12;32;14/03/2018;3;False;8;6;1;1;80;20;0;80;20;0;V
Red Bull;12;138;11/03/2018;0;True;6;2;3;1;60;20;20;60;20;20;V
Palmeiras;12;1;08/03/2018;242;False;321;108;105;108;40;40;20;40;40;20;D
Linense;12;104;04/03/2018;238;False;17;11;2;4;40;40;20;40;40;20;V
CRB;12;32;28/02/2018;234;True;8;6;1;1;40;40;20;40;40;20;V
Ferroviária;12;118;25/02/2018;231;True;74;37;20;17;40;40;20;40;40;20;E
Ituano;12;75;22/02/2018;228;False;28;18;5;5;60;40;0;60;40;0;D
Santos;12;4;18/02/2018;224;True;309;133;72;104;80;20;0;40;20;40;D
CSA;12;45;15/02/2018;221;False;7;4;3;0;80;20;0;20;40;40;V
Bragantino;12;42;07/02/2018;213;True;45;25;11;9;80;20;0;80;20;0;V
Botafogo SP;12;57;03/02/2018;209;True;101;55;29;17;60;20;20;60;20;20;V
Madureira;12;77;31/01/2018;206;False;;;;;40;40;20;40;40;20;V
Corinthians;12;5;27/01/2018;202;False;344;105;109;130;20;40;40;60;40;0;D
Mirassol;12;161;24/01/2018;199;False;13;9;2;2;40;20;40;40;20;40;V
Novorizontino;12;153;20/01/2018;195;True;21;10;9;2;20;20;60;20;20;60;E
São Bento;12;51;17/01/2018;192;False;62;40;14;8;20;40;40;20;40;40;D
Bahia;11;21;03/12/2017;147;True;49;17;14;18;20;20;60;20;40;40;E
Coritiba;11;17;26/11/2017;140;False;53;23;14;16;20;20;60;20;20;60;V
Botafogo;11;8;19/11/2017;133;True;106;44;24;38;20;20;60;20;60;20;E
Grêmio;11;3;15/11/2017;129;False;95;37;27;31;40;20;40;60;20;20;D
Vasco da Gama;11;13;12/11/2017;126;False;118;42;35;41;60;0;40;60;0;40;E
Chapecoense;11;14;09/11/2017;123;True;11;3;4;4;60;20;20;40;0;60;E
Atlético GO;11;20;04/11/2017;118;False;10;3;4;3;80;20;0;80;20;0;V
Santos;11;4;28/10/2017;111;True;309;133;72;104;60;40;0;20;20;60;V
Flamengo;11;7;22/10/2017;105;True;133;52;39;42;60;40;0;40;40;20;V
Fluminense;11;12;18/10/2017;101;False;122;53;25;44;40;40;20;40;40;20;D
Atlético PR;11;9;15/10/2017;98;True;62;21;22;19;60;20;20;20;60;20;V
Atlético MG;11;5;12/10/2017;95;False;97;34;31;32;40;20;40;40;20;40;D
Sport;11;15;01/10/2017;84;True;53;30;13;10;40;20;40;40;20;40;V
Corinthians;11;6;24/09/2017;77;True;344;105;109;130;20;20;60;20;20;60;E
Vitória;11;18;17/09/2017;70;False;49;30;9;10;40;20;40;40;20;40;V
Ponte Preta;11;16;09/09/2017;62;True;144;74;43;27;20;40;40;20;40;40;E
Palmeiras;11;1;27/08/2017;49;False;321;108;105;108;20;60;20;40;40;20;D
Avaí;11;23;20/08/2017;42;False;17;9;5;3;40;40;20;20;40;40;E
Cruzeiro;11;1;13/08/2017;35;True;85;42;22;21;40;40;20;20;20;60;V
Bahia;11;21;06/08/2017;28;False;49;17;14;18;40;40;20;40;40;20;D
Coritiba;11;17;03/08/2017;25;True;53;23;14;16;40;40;20;40;40;20;D
Botafogo;11;8;29/07/2017;20;False;106;44;24;38;40;20;40;40;20;40;V
Grêmio;11;3;24/07/2017;15;True;95;37;27;31;20;40;40;60;20;20;E
Vasco da Gama;11;13;20/07/2017;11;True;118;42;35;41;20;60;20;20;60;20;V
Chapecoense;11;14;16/07/2017;7;False;11;3;4;4;0;60;40;20;40;40;D
Atlético GO;11;20;13/07/2017;4;True;10;3;4;3;0;60;40;0;60;40;E
Santos;11;4;09/07/2017;0;False;309;133;72;104;0;80;20;40;40;20;D
Flamengo;11;7;02/07/2017;10;False;133;52;39;42;0;60;40;80;0;20;D
Fluminense;11;12;25/06/2017;3;True;122;53;25;44;0;60;40;20;40;40;E
Atlético PR;11;9;22/06/2017;0;False;62;21;22;19;20;60;20;60;20;20;D
Atlético MG;11;5;18/06/2017;203;True;97;34;31;32;20;60;20;40;40;20;D
Sport;11;15;14/06/2017;199;False;53;30;13;10;40;40;20;40;40;20;E
Corinthians;11;6;11/06/2017;196;False;344;105;109;130;60;40;0;100;0;0;D
Vitória;11;18;08/06/2017;193;True;49;30;9;10;60;40;0;60;40;0;V
Ponte Preta;11;16;04/06/2017;189;False;144;74;43;27;40;40;20;40;40;20;D
Palmeiras;11;1;27/05/2017;181;True;321;108;105;108;40;20;40;60;40;0;V
Avaí;11;23;22/05/2017;176;True;17;9;5;3;40;20;40;20;60;20;V
Cruzeiro;11;1;14/05/2017;168;False;85;42;22;21;20;40;40;40;40;20;D
Defensa y Justicia;11;0;12/05/2017;166;True;;;;;20;40;40;20;40;40;E
Corinthians;11;6;23/04/2017;147;False;344;105;109;130;40;40;20;40;0;60;E
Cruzeiro;11;1;19/04/2017;143;False;85;42;22;21;40;40;20;60;20;20;V
Corinthians;11;6;16/04/2017;140;True;344;105;109;130;40;40;20;60;0;40;D
Cruzeiro;11;1;14/04/2017;138;True;85;42;22;21;60;20;20;80;0;20;D
Linense;11;143;08/04/2017;132;True;17;11;2;4;60;0;40;60;0;40;V
Defensa y Justicia;11;0;05/04/2017;129;False;;;;;40;0;60;40;0;60;E
Linense;11;143;02/04/2017;126;False;17;11;2;4;40;0;60;40;0;60;V
São Bernardo;11;134;30/03/2017;123;False;4;2;1;1;20;0;80;20;0;80;V
Corinthians;11;6;26/03/2017;119;True;344;105;109;130;0;20;80;0;20;80;E
Botafogo SP;11;58;23/03/2017;116;False;101;55;29;17;20;20;60;20;20;60;E
Ituano;11;65;18/03/2017;111;True;28;18;5;5;40;20;40;40;20;40;E
ABC;11;31;15/03/2017;108;False;;;;;60;20;20;60;20;20;E
Palmeiras;11;1;11/03/2017;104;False;321;108;105;108;60;20;20;60;20;20;D
ABC;11;31;08/03/2017;101;True;;;;;80;0;20;80;0;20;V
Santo André;11;156;05/03/2017;98;True;37;20;10;7;60;0;40;60;0;40;V
PSTC;11;110;01/03/2017;94;False;;;;;60;0;40;60;0;40;V
Novorizontino;11;0;25/02/2017;90;False;21;10;9;2;60;0;40;60;0;40;E
São Bento;11;68;21/02/2017;86;True;62;40;14;8;80;0;20;80;0;20;V
Mirassol;11;0;18/02/2017;83;True;13;9;2;2;60;20;20;60;20;20;E
Santos;11;4;15/02/2017;80;False;309;133;72;104;60;20;20;60;40;0;V
Ponte Preta;11;16;12/02/2017;77;True;144;74;43;27;60;20;20;60;20;20;V
Moto Club;11;66;09/02/2017;74;False;5;5;0;0;60;20;20;60;20;20;V
Audax;11;110;05/02/2017;70;False;4;2;0;2;40;40;20;40;40;20;D
Corinthians;11;6;21/01/2017;55;False;344;105;109;130;40;20;40;40;20;40;E
Santa Cruz;8;26;11/12/2016;14;True;;;;;60;20;20;60;20;20;V
Atlético MG;8;5;27/11/2016;0;False;97;34;31;32;40;40;20;0;60;40;V
Chapecoense;8;19;20/11/2016;91;False;11;3;4;4;40;40;20;60;0;40;D
Grêmio;8;1;17/11/2016;88;True;95;37;27;31;60;20;20;20;20;60;E
Corinthians;8;4;05/11/2016;76;True;344;105;109;130;60;40;0;20;40;40;V
América;8;22;31/10/2016;71;False;69;43;13;13;40;40;20;40;40;20;D
Ponte Preta;8;15;22/10/2016;62;True;144;74;43;27;40;20;40;40;20;40;V
Fluminense;8;10;17/10/2016;57;False;122;53;25;44;20;40;40;40;60;0;V
Santos;8;3;14/10/2016;54;True;309;133;72;104;20;40;40;80;0;20;D
Sport;8;17;06/10/2016;46;False;53;30;13;10;20;40;40;20;40;40;E
Flamengo;8;9;01/10/2016;41;True;133;52;39;42;40;40;20;60;20;20;E
Vitória;8;20;25/09/2016;35;False;49;30;9;10;60;40;0;60;40;0;D
Juventude;8;38;23/09/2016;33;False;21;9;6;6;60;40;0;60;40;0;V
Atlético PR;8;11;18/09/2016;28;False;62;21;22;19;40;40;20;60;40;0;D
Cruzeiro;8;6;16/09/2016;26;True;85;42;22;21;40;40;20;60;40;0;V
Figueirense;8;16;11/09/2016;21;True;34;19;10;5;20;40;40;20;40;40;V
Palmeiras;8;2;08/09/2016;18;False;321;108;105;108;0;60;40;80;0;20;D
Coritiba;8;14;28/08/2016;7;True;53;23;14;16;20;40;40;20;40;40;E
Juventude;8;38;25/08/2016;4;True;21;9;6;6;20;60;20;20;60;20;D
Internacional;8;7;21/08/2016;0;False;77;27;25;25;20;40;40;0;60;40;E
Botafogo;8;12;14/08/2016;7;True;106;44;24;38;20;60;20;60;40;0;D
Santa Cruz;8;26;07/08/2016;0;False;;;;;20;40;40;20;40;40;V
Atlético MG;8;5;04/08/2016;187;True;97;34;31;32;0;60;40;80;20;0;D
Chapecoense;8;19;31/07/2016;183;True;11;3;4;4;20;40;40;20;0;80;E
Grêmio;8;1;24/07/2016;176;False;95;37;27;31;20;60;20;80;20;0;D
Corinthians;8;4;17/07/2016;169;False;344;105;109;130;20;60;20;80;0;20;E
Atlético Nacional;8;0;14/07/2016;166;False;;;;;40;60;0;40;60;0;D
América;8;22;10/07/2016;162;True;69;43;13;13;40;60;0;40;60;0;V
Atlético Nacional;8;0;07/07/2016;159;True;;;;;20;60;20;20;60;20;D
Ponte Preta;8;15;03/07/2016;155;False;144;74;43;27;20;40;40;20;40;40;D
Fluminense;8;10;30/06/2016;152;True;122;53;25;44;40;20;40;40;60;0;V
Santos;8;3;26/06/2016;148;False;309;133;72;104;20;40;40;80;20;0;D
Sport;8;17;24/06/2016;146;True;53;30;13;10;40;20;40;40;20;40;E
Flamengo;8;9;19/06/2016;141;False;133;52;39;42;40;40;20;40;40;20;E
Vitória;8;20;15/06/2016;137;True;49;30;9;10;60;40;0;60;40;0;V
Atlético PR;8;11;12/06/2016;134;True;62;21;22;19;40;40;20;60;40;0;D
Cruzeiro;8;6;05/06/2016;127;False;85;42;22;21;40;40;20;20;40;40;V
Figueirense;8;16;02/06/2016;124;False;34;19;10;5;20;60;20;20;60;20;D
Palmeiras;8;2;29/05/2016;120;True;321;108;105;108;40;40;20;40;40;20;V
Coritiba;8;14;26/05/2016;117;False;53;23;14;16;40;40;20;40;40;20;E
Internacional;8;7;22/05/2016;113;True;77;27;25;25;40;60;0;80;0;20;D
Atlético MG;8;5;19/05/2016;110;False;97;34;31;32;60;40;0;60;20;20;D
Botafogo;8;12;15/05/2016;106;False;106;44;24;38;60;20;20;20;40;40;V
Atlético MG;8;5;12/05/2016;103;True;97;34;31;32;40;40;20;20;40;40;V
Toluca;8;0;04/05/2016;95;False;;;;;40;40;20;40;40;20;D
Toluca;8;0;29/04/2016;90;True;;;;;40;40;20;40;40;20;V
The Strongest;8;0;22/04/2016;83;False;;;;;40;40;20;40;40;20;E
Audax;8;148;17/04/2016;78;False;4;2;0;2;60;40;0;60;40;0;D
River Plate;8;217;14/04/2016;75;True;;;;;60;20;20;60;20;20;V
São Bento;8;128;10/04/2016;71;False;62;40;14;8;40;20;40;40;20;40;D
Trujillanos;8;0;06/04/2016;67;True;;;;;60;0;40;60;0;40;V
Oeste;8;42;02/04/2016;63;True;7;5;2;0;40;0;60;40;0;60;V
Linense;8;122;30/03/2016;60;False;17;11;2;4;20;0;80;20;0;80;E
Santos;8;3;27/03/2016;57;False;309;133;72;104;20;20;60;60;0;40;E
Botafogo SP;8;68;24/03/2016;54;True;101;55;29;17;20;20;60;20;20;60;V
Ituano;8;66;20/03/2016;50;False;28;18;5;5;0;40;60;0;40;60;E
Trujillanos;8;0;16/03/2016;46;False;;;;;20;40;40;20;40;40;E
Palmeiras;8;2;13/03/2016;43;True;321;108;105;108;20;60;20;60;40;0;D
River Plate;8;217;10/03/2016;40;False;;;;;40;40;20;40;40;20;E
São Bernardo;8;178;05/03/2016;35;True;4;2;1;1;60;40;0;60;40;0;D
Mogi Mirim;8;53;01/03/2016;31;True;27;13;8;6;60;40;0;60;40;0;V
Ponte Preta;8;15;27/02/2016;28;False;144;74;43;27;40;60;0;40;60;0;D
Novorizontino;8;0;24/02/2016;25;True;21;10;9;2;60;40;0;60;40;0;V
Rio Claro;8;0;21/02/2016;22;True;8;5;1;2;60;40;0;60;40;0;V
The Strongest;8;0;17/02/2016;18;True;;;;;40;40;20;40;40;20;D
Corinthians;8;4;14/02/2016;15;False;344;105;109;130;40;20;40;80;20;0;D
Universidad Cesar Vallejo;8;0;10/02/2016;11;True;;;;;60;0;40;60;0;40;V
Agua Santa;8;0;06/02/2016;7;True;;;;;60;0;40;60;0;40;V
Universidad Cesar Vallejo;8;0;03/02/2016;4;False;;;;;40;20;40;40;20;40;E
Red Bull;8;132;30/01/2016;0;False;6;2;3;1;60;20;20;60;20;20;E
Goiás;5;15;06/12/2015;16;False;49;22;13;14;60;40;0;20;60;20;V
Figueirense;5;16;28/11/2015;8;True;34;19;10;5;60;40;0;60;40;0;V
Corinthians;5;1;22/11/2015;2;False;344;105;109;130;40;60;0;80;0;20;D
Atlético MG;5;7;20/11/2015;0;True;97;34;31;32;60;40;0;40;60;0;V
Cruzeiro;5;3;08/11/2015;24;False;85;42;22;21;40;60;0;60;0;40;D
Sport;5;19;31/10/2015;16;True;53;30;13;10;40;40;20;40;40;20;V
Santos;5;4;29/10/2015;14;False;309;133;72;104;20;60;20;60;20;20;D
Coritiba;5;14;25/10/2015;10;False;53;23;14;16;40;40;20;40;40;20;V
Santos;5;4;22/10/2015;7;True;309;133;72;104;20;40;40;80;20;0;D
Vasco da Gama;5;11;18/10/2015;3;True;118;42;35;41;20;20;60;20;20;60;E
Fluminense;5;10;15/10/2015;0;False;122;53;25;44;40;20;40;40;20;40;D
Atlético PR;5;12;04/10/2015;119;True;62;21;22;19;40;20;40;20;60;20;V
Vasco da Gama;5;11;01/10/2015;116;False;118;42;35;41;20;20;60;20;20;60;E
Palmeiras;5;8;27/09/2015;112;True;321;108;105;108;40;20;40;60;0;40;E
Vasco da Gama;5;11;24/09/2015;109;True;118;42;35;41;40;40;20;40;40;20;V
Avaí;5;23;20/09/2015;105;False;17;9;5;3;40;40;20;60;40;0;D
Chapecoense;5;24;17/09/2015;102;True;11;3;4;4;40;20;40;0;40;60;E
Grêmio;5;2;13/09/2015;98;False;95;37;27;31;60;20;20;40;20;40;V
Santos;5;4;10/09/2015;95;False;309;133;72;104;60;20;20;80;0;20;D
Internacional;5;9;05/09/2015;90;True;77;27;25;25;60;20;20;60;40;0;V
Joinville;5;27;02/09/2015;87;False;4;2;2;0;40;40;20;40;40;20;E
Ponte Preta;5;17;30/08/2015;84;True;144;74;43;27;40;60;0;40;60;0;V
Ceará;5;21;26/08/2015;80;False;21;13;4;4;40;60;0;60;40;0;V
